company_slug,name,role,background,origin,prior
vectara,Dr. Amr Awadallah,Co-Founder & CEO,B.Sc. and M.Sc. in Electrical/Computer Engineering from Cairo University. Ph.D. in Electrical Engineering from Stanford University (1995-2007). Co-founded Cloudera in 2008 and served as Global CTO for 11 years through its 2017 NYSE IPO and 2021 acquisition for $5.3B. VP of Developer Relations at Google Cloud (2019-2022). Earlier: VP of Product Intelligence Engineering at Yahoo (2000-2008) after Yahoo acquired his first startup Aptivia (a product search engine). Also held roles at Nortel.,American,
vectara,Amin Ahmad,Co-Founder & CTO,"Drives the technical architecture and product vision of Vectara's neural search platform. Oversees core model R&D, scaling enterprise infrastructure, and architected the GenAI services and integration frameworks central to Vectara's offering.",American,
vectara,Dr. Tallat Shafaat,Co-Founder & Chief Architect,Led the engineering behind the Boomerang Retrieval Model and the open-source HHEM (Hughes Hallucination Evaluation Model) for hallucination detection. Significant tenure at Google focused on search infrastructure and knowledge graphs. Research experience at the Swedish Institute of Computer Science (SICS).,American,
veesion,Thibault David,Co-Founder & CEO,Co-founded Veesion in 2018 with two fellow students passionate about AI,French,
veesion,Benoit Koenig,Co-Founder & CRO,Relocating to the US in 2025 to set up Veesion's first American office,French,
veesion,Damien Menigaux,Co-Founder & Head of Research,Leads AI research at Veesion for gesture recognition technology,French,
vega-security,Shay Sandler,CEO & Co-Founder,"Veteran of Unit 8200 (Israeli military intelligence). Early employee at Granulate, which was acquired by Intel.",Israeli,
vega-security,Eli Rozen,CTO & Co-Founder,Veteran of Unit 8200. Early employee at Granulate (acquired by Intel).,Israeli,
vellum-ai,Noa Flaherty,Co-Founder & CTO,"BS Mechanical Engineering and Management from MIT (2011-2015). Multiple roles at DataRobot (MLOps Software Engineer, Team Lead, Covid Intelligence). Software Engineering Manager and Technology Lead at Dover. Worked at three tech startups before co-founding Vellum. YC W23.",American,
vellum-ai,Sidd Seethepalli,Co-Founder,MIT undergraduate. Worked on Quora's ML Platform team. Spent 4 years at tech companies including Quora and Dover. Co-built production LLM use-cases at Dover (YC S19) which inspired creating Vellum. YC W23.,Indian-American,
vellum-ai,Akash Sharma,Co-Founder & CEO,"UC Berkeley graduate. Spent 5 years at McKinsey's Silicon Valley Office. Worked at Dover (YC S19) for 2+ years building production LLM applications with GPT-3 and Cohere. The internal tooling they built to compare models, fine-tune, and measure performance inspired the creation of Vellum. YC W23.",Indian-American,
vercel,Guillermo Rauch,Co-Founder & CEO,Open-source developer; creator of Socket.io and other JS tools. Serial entrepreneur in developer tools,Argentine,
vercel,Tony Kovanen,Co-Founder,Co-founded ZEIT (later renamed Vercel) in 2015,Finnish,
vercel,Naoyuki Kanezawa,Co-Founder,Co-founded ZEIT (later renamed Vercel) in 2015,Japanese,
verge-genomics,Alice Zhang,Co-Founder & CEO,"BA Molecular Biology from Princeton University. Seven years of systems biology research at National Cancer Institute, Lewis-Sigler Institute for Integrative Genomics at Princeton, and UCLA. Attended UCLA-Caltech Medical Scientist Training Program (neuroscience doctorate) before leaving to start Verge in 2015. Father was a 1978 Democracy Wall Movement activist in China who received political asylum in the US. Forbes 30 Under 30 (2017), Fortune 40 Under 40 (2022), Fierce Biotech Fiercest Women in Life Sciences (2022). Paul & Daisy Soros Fellow.",Chinese-American,
veris-ai,Mehdi Jamei,CEO & Co-Founder,PhD in Electrical Engineering and Computer Science from UC Berkeley. MS in Physics from UC Berkeley. Formerly led agentic AI at System and Workmate. Previous experience at NationSwell and Bayes Impact. Founded Veris AI to build simulation-based training platform for enterprise AI agents.,Iranian-American,
veritus,Joshua March,Co-Founder,YC S25 batch.,,
veritus,Joey Stein,Co-Founder,YC S25 batch.,,
veritus,David Schlesinger,Co-Founder,YC S25 batch.,,
vertical-compute,Sylvain Dubois,Co-Founder & CEO,"Ex-Google; spent years in Advanced Technology Sourcing & Partnerships for Google Cloud Infrastructure focusing on AI hardware acceleration, novel memory, and chiplet integration",French,
vertical-compute,Sebastien Couet,Co-Founder & CTO,"Former Program Director at imec leading MRAM development; 15+ years experience, 130+ publications, 16+ patents in magnetic memories and semiconductor systems",French,
vesence,Henrik Hansson,Co-Founder,Studied physics and economics at Sweden's top two universities in parallel; previously at YC startup Depict,Swedish,
vesence,Ludvig Swanstrom,Co-Founder,"Operator and investor background in AI from Depict (YC), Peltarion (acquired by King), and Norrsken Foundation (Klarna founder's fund)",Swedish,
vibeflow,Elia Saquand,Co-Founder,YC S25 batch.,,
vibeflow,Alessia Paccagnella,Co-Founder,YC S25 batch.,Italian (inferred from name),
video-rebirth,Dr. Wei Liu,CEO & Founder,Former Tencent Distinguished Scientist. IEEE Fellow. Deep expertise in computer vision and video generation.,Chinese,
video-rebirth,Dan Kong,COO & Co-Founder,Previously an AI investor at Abu Dhabi's G42 investment arm. Business and strategy background.,Chinese,
vinci-semi,Hardik Kabaria,CEO,"PhD computational geometry, Stanford",Indian-American,
vinci-semi,Sarah Osentoski,Co-founder,Pioneer in large-scale ML and autonomous systems,American,
visibl-semiconductors,Unknown,Co-Founder & CEO,Semiconductor design and AI background.,,
viz-ai,Chris Mansi,Co-Founder & CEO,"Neurosurgeon (MD, MBA); co-founded Viz.ai in 2016 while at Stanford MBA program. Seed-funded by Eric Schmidt. Named TIME 100 Most Influential in AI 2024",British-American,
viz-ai,David Golan,Co-Founder,Machine learning post-doc; co-founded Viz.ai with Chris Mansi,Israeli,
voyage-ai,Tengyu Ma,CEO,Assistant Professor at Stanford. BS from Tsinghua University. PhD from Princeton. Previously at Google and Facebook.,,
vulcan-technologies,Tanner Jones,Co-Founder,YC S25 batch.,,
vulcan-technologies,Chris Minge,Co-Founder,YC S25 batch.,,
vulcan-technologies,Nathaniel Branscum,Co-Founder,YC S25 batch.,,
vultr,David Aninowsky,Founder & Executive Chairman,Born and raised in New Jersey. Attended NJIT (New Jersey Institute of Technology) studying computer science but left to focus on his hosting company started in high school. Worked in managed infrastructure since 1996; one of the first employees at Datapipe. First venture was a virtual/shared hosting company in mid-1990s. Oversaw operational strategies and business development at GameServers.com for 17+ years. Founded Vultr in 2014 leveraging 20+ years of hosting/managed services experience.,American,
waabi,Raquel Urtasun,CEO,Former chief scientist at Uber ATG. University of Toronto professor. Pioneer in self-driving AI.,,
wabi-ai,Eugenia Kuyda,CEO,Founder of Replika (AI companion app),Russian-American,
wandercraft,Matthieu Masselin,Co-Founder & CEO,Engineer who co-founded Wandercraft in 2012 to build autonomous walking exoskeletons,French,
wandercraft,Nicolas Simon,Co-Founder,Engineer; co-founded Wandercraft in 2012,French,
wandercraft,Alexandre Boulanger,Co-Founder,Engineer; co-founded Wandercraft in 2012,French,
warmly,Max Greenwald,CEO & Co-Founder,"Princeton University (BS Computer Science & Public Policy). Product Manager at Google working on Photos, Maps, and Chrome. Intern at FTC in Cyber Security. Founder and Chairman of IgniteSTEM nonprofit. Left Google in 2020 to start Warmly. Went through 7+ pivots before finding product-market fit as an autonomous sales orchestration platform.",American,
warmly,Carina Boo,Co-Founder,Co-founded Warmly in 2020 with Max Greenwald and Alan Zhao. Engineering background. Details on prior career limited in public sources.,American,
warmly,Alan Zhao,Co-Founder & VP of Engineering,Met Max Greenwald during an On Deck in-person weekend hackathon. Joined as co-founder and VP of Engineering at Warmly. Engineering background focused on building the technical platform.,Chinese-American,
waveforms-ai,Alexi Conneau,CEO,"Former OpenAI researcher, GPT-4 Voice Mode",French,
waymo,Sebastian Thrun,Original project lead (Google Self-Driving Car Project),Stanford professor; founded Google X; now at Cresta AI,German-American,
waymo,Chris Urmson,Early CTO (departed 2016),Carnegie Mellon; later founded Aurora Innovation,Canadian,
wayve,Alex Kendall,Co-Founder & CEO,"PhD in Deep Learning, Computer Vision & Robotics, University of Cambridge (Trinity College)",New Zealand,
wayve,Amar Shah,Co-Founder (departed 2020),"PhD in Machine Learning, University of Cambridge (supervised by Zoubin Ghahramani & Yoshua Bengio)",Indian-British,"Quantitative Strategist, Goldman Sachs"
weave-bio,Ari Caroline,Co-Founder & CEO,Co-founded Weave Bio in 2023 to automate regulatory workflows for drug development,American,
weave-bio,Umut Eser,Co-Founder & CTO,AI/ML expert; leads technical development of Weave's regulatory platform,Turkish-American,
weave-bio,Brandon Rice,Co-Founder & CPO,Chief Product Officer leading regulatory product strategy at Weave Bio,American,
weaviate,Bob van Luijt,Co-Founder & CEO,"Born November 15, 1985 in Bergen op Zoom, Netherlands. Started his own software company at age 15. Studied jazz and electronic composition at Artez Institute of the Arts (bachelor's degree). Attended Berklee College of Music in the US on a VSBfonds scholarship and Berklee World Scholarship. Completed Harvard Business School Program of Management Excellence. Ran a strategic design and software consultancy called Kubrickology (named after Stanley Kubrick). Started the Weaviate open-source project in March 2016. Shut down Kubrickology to co-found SeMI Technologies (later renamed Weaviate). Also an angel investor.",American,
weaviate,Etienne Dilocker,Co-Founder & CTO,"Deep-tech background focused on distributed systems and cloud technology. Expertise in Golang, database development, cloud-native technology, and performance programming. Former freelance software engineer. Managing Director at Dilocker Software Engineering & Consulting GmbH. Current research interests include auto-scaling databases and new vector-index types for resource-efficient vector search at scale.","German. Based in Mannheim, Germany",
weaviate,Micha Verhagen,Co-Founder,Limited public information available. Co-founded SeMI Technologies in 2019 alongside Van Luijt and Dilocker.,American,
webai,David Stout,Co-Founder & CEO,"Raised on a cattle ranch in northern Michigan. Studied at Davenport University, then enrolled in online AI coursework at Stanford University (left to focus on webAI). Developed interest in machinery and computing under resource-constrained conditions. Founded Ghost House Technology in 2016, an AI software startup that served as early incubator for on-device AI concepts leading to webAI. Met co-founders Tyler Mauer and Ethan Baird as fellow Michigan computer engineers.",American,
webai,Tyler Mauer,Co-Founder,Computer engineer from Michigan. Met David Stout and Ethan Baird through shared technical interests. Co-founded webAI in 2019 with a vision of creating AI systems that run directly on devices without cloud dependency. Technical co-founder focused on distributed AI architecture.,American,
webai,Ethan Baird,Co-Founder,"Computer engineer from Michigan. Co-founded webAI in 2019 alongside David Stout and Tyler Mauer. Shared the founding vision of privacy-focused, on-device AI systems. Technical co-founder contributing to the sovereign AI platform architecture.",American,
wedge-health,Unknown,Co-Founder,YC S25 batch.,,
weights-and-biases,Lukas Biewald,Co-founder & CEO,"Born 1981 in Boston, MA. Attended Cambridge Rindge and Latin School. Earned both BS and MS in Computer Science from Stanford University. Worked at Yahoo as an engineer on machine translations and led the Search Relevance Team for Yahoo Japan. Joined Powerset as Senior Scientist (acquired by Microsoft in 2008). Co-founded CrowdFlower (later renamed Figure Eight), a human-in-the-loop ML data labeling platform, which was acquired by Appen in 2019 for ~$300M. Had a stint at OpenAI where he observed firsthand the poor state of ML experiment tooling, inspiring W&B. Inc Magazine Top 30 Entrepreneurs Under 30 (2010).",American,
weights-and-biases,Chris Van Pelt,Co-founder & CISO,"Co-founded CrowdFlower/Figure Eight with Biewald, spending nearly a decade building it. Transitioned to Weights & Biases in 2017 as co-founder. Currently serves as Chief Information Security Officer (CISO). Inc Magazine Top 30 Entrepreneurs Under 30 (2010, alongside Biewald).",American,
weights-and-biases,Shawn Lewis,Co-founder & CTO,"Studied at Virginia Tech (2002-2006). Worked as Software Engineer at the Naval Research Laboratory (2004-2006), then as Senior Software Engineer at Google (2006-2010). Founded Beep Networks (2012-2017). Described as a Y Combinator alum. Known for building an OpenAI o1-based AI programming agent that achieved state-of-the-art results on SWE-Bench-Verified (64.6% resolution rate).",American,
weka,Liran Zvibel,Co-Founder & CEO,Principal software architect and founding member at XIV Storage (acquired by IBM ~$350M). Captain in Israeli Defense Forces. BS in Mathematics and CS from Tel Aviv University,Israeli,
weka,Omri Palmon,Co-Founder & COO,VP of Marketing and Product at XIV until IBM acquisition. PhD in CS from Stanford; degrees in pure mathematics from Tel Aviv University. 30+ years in software development,Israeli,
weka,Maor Ben-Dayan,Co-Founder & Chief Architect,Project lead for IBM XIV Storage System; led collision-avoidance tech at Mobileye. Unix kernel development for Israeli Defense Forces. ~20 years of deep technical experience,Israeli,
weride,Tony Han,CEO,Former Chief Scientist of Baidu's Autonomous Driving Unit,Chinese,
weride,Yan Li,Co-founder,Co-founded WeRide in Silicon Valley,Chinese,
whitelab-genomics,David Del Bourgo,Co-Founder & CEO,Biotech and life sciences executive; expertise in genomic medicine and computational biology,French,
whitelab-genomics,Julien Cottineau,Co-Founder,Technology and software development; experience in scientific computing platforms,French,
